line	method	op_start	op_end	vtt_start	text
414	-	-	-	24:17.66	メシ屋はあるんだろうな？
415	-	-	-	24:19.21	俺 肉が食いてえな
416	-	-	-	24:20.50	あんたらね\N食べ物から離れなさいよ
417	-	-	-	24:22.79	んっ おい\Nあいつ 何者だ？
418	-	-	-	24:24.34	どこどこ？
419	-	-	-	24:25.17	何か海賊団の船長だって\N言ってるわよ
420	-	-	-	24:27.76	次回 ワンピース
421	-	-	-	24:29.13	「正義のうそつき？\Nキャプテン･ウソップ」
422	-	-	-	24:31.68	海賊王に 俺はなる！
76	part	05:24.67	05:27.03	-	てめえが海賊を語るのかよ
103	part	06:44.27	06:45.73	-	こうもすんなりいくとはな
222	part	12:26.01	12:27.96	-	さすが泥棒
224	part	12:30.43	12:31.68	-	ぶっ飛べ バギー！
296	part	15:54.83	15:55.73	-	ホントだろ？
404	part	21:07.41	21:08.38	-	もっかい取ってこいよ
