line	method	op_start	op_end	vtt_start	text
194	cover	11:54.23	11:56.91	15:26.22	ゴムゴムの実を食った
195	cover	11:57.31	12:02.76	15:28.51	まさか お前 バギー船長と同じ\N悪魔の実の能力者？
196	cover+snap	12:06.86	12:08.03	15:38.10	ぬう… 分かった
197	cover	12:08.15	12:11.27	15:39.40	ここはひとつ\N穏便に謝ろうと思う
198	cover	12:11.91	12:16.59	15:43.11	もう謝らなくていいよ\Nあの犬の宝は戻らないんだから
199	cover	12:20.37	12:20.74	15:50.99	だから―
200	cover	12:20.77	12:23.47	15:52.53	俺はお前をぶっ飛ばす
201	-	-	-	15:54.62	ぬっ ぐうう…
202	-	-	-	15:59.17	うわああーっ
203	cover	12:44.79	12:49.35	16:16.10	どいつも こいつも\N海賊なんて みんな同じよ
204	cover+snap	12:49.53	12:52.58	16:20.81	人の大切なものを平気で奪って
205	cover	12:53.31	12:55.85	16:24.57	あら 海賊 生きてたの
206	cover	12:56.05	13:00.26	16:27.28	てっきり ライオンに\N食べられちゃったかと思ったわ
207	cover	13:00.43	13:03.67	16:31.91	あんたも海賊なら\N同じことするのよ！
208	cover	13:04.27	13:07.19	16:35.33	仲間 集めて\N人を襲い出す前に―
209	cover	13:07.35	13:09.14	16:38.54	ここで殺してやろうか！
210	cover	13:09.17	13:11.02	16:40.46	ああ おい やめんか 娘
211	cover	13:11.05	13:13.52	16:42.84	お前なんかに俺がやられるか
212	cover	13:13.55	13:14.92	16:44.84	やったろうじゃないの！
213	cover	13:14.95	13:18.25	16:46.05	やめろっちゅうんじゃ\N何なんじゃ お前ら
214	cover	13:31.25	13:33.45	17:02.44	これしか取り返せなかったよ
215	cover	13:33.55	13:35.83	17:04.61	あと全部\N食っちまいやがってよ
216	cover+snap	13:36.02	13:37.14	17:07.78	あいつ…
217	cover	13:37.25	13:42.55	17:09.36	あのライオンと戦ってきたんだ\Nあの犬のために？
218	cover	13:46.09	13:48.01	17:17.33	よーく戦ったな お前
219	cover	13:48.19	13:50.69	17:19.33	見ちゃいねえけど\N大体 分かる
220	-	-	-	17:40.22	ワン！
221	-	-	-	17:41.64	おう！
222	cover	14:11.83	14:13.33	17:43.10	お前も頑張れよ
223	-	-	-	17:44.73	ワン ワン ワン！
224	-	-	-	17:55.49	ハッ… ハハハッ
225	cover	14:28.09	14:30.33	17:59.37	やられただと？
226	cover+snap	14:30.94	14:34.20	18:02.16	も… 申し訳ありません\Nバギー船長
227	cover	14:34.97	14:38.59	18:06.13	モージ\N貴様がゾロにやられるとはな
228	cover	14:38.62	14:41.56	18:09.96	いえ ゾロではなく\Nあの麦わらに…
229	cover	14:41.59	14:45.36	18:12.80	何！ あの麦わらのガキに\Nやられたというのか
230	cover	14:45.39	14:47.06	18:16.35	やつはゴム…
231	cover+snap	14:47.41	14:49.66	18:18.43	俺は もうキレたぞ
232	cover	14:49.71	14:51.92	18:20.81	特製バギー玉\Nありったけ用意しろ
233	cover	14:52.01	14:54.97	18:23.14	この町をすべて\N消し飛ばしてやる
234	cover	14:56.91	14:58.24	18:28.07	さっきはごめん
235	cover	14:59.57	15:01.20	18:30.73	つい どなって
236	cover	15:02.07	15:05.20	18:33.19	いいさ\Nお前 いろいろあったんだろ？
237	cover	15:06.69	15:08.81	18:38.83	別に聞きたかねえけど
238	rescue+snap	15:09.15	15:10.80	18:41.45	ううっ 情けない
239	cover	15:10.83	15:14.26	18:43.25	シュシュや小わっぱが\Nここまで戦っているというのに―
240	cover	15:14.29	15:16.46	18:46.38	町長のわしが\Nなぜ指をくわえて―
241	cover	15:16.49	15:19.47	18:48.59	我が町が消されるのを\N見ておらねばならんのじゃ
242	cover	15:19.83	15:21.24	18:51.84	町長さん 落ち着いて
243	cover	15:21.27	15:25.23	18:53.67	40年前 この土地は\Nただの荒れ地だった
244	cover+snap	15:25.26	15:27.76	18:57.59	わしらは力を合わせて\N切り開き―
245	cover	15:27.93	15:32.67	19:00.22	畑を作り 店を開いて\N町をつくっていったんじゃ
246	cover	15:32.83	15:36.68	19:04.81	町のみんなも…\Nこの町はわしの宝なのじゃ
247	cover	15:36.71	15:40.73	19:09.15	これ以上 あいつらを\Nのさばらせておくわけには…
248	cover	15:40.95	15:44.85	19:13.11	特製バギー玉 撃て\N町を吹き飛ばすんだ！
249	-	-	-	19:19.58	ああっ…
250	interp	15:57.04	15:59.23	19:28.29	わしのうちまで…
251	cover	15:59.93	16:01.26	19:31.04	ああっ ゾロが寝てんのに！
252	cover	16:01.29	16:04.45	19:33.80	死んだか 小わっぱ…
253	cover	16:05.65	16:07.61	19:37.72	おい ゾロ！ 生きてるか？
254	cover	16:08.11	16:10.53	19:40.30	ひでえ起こし方しやがって
255	-	-	-	19:43.27	アハハハッ
256	cover+snap	16:14.38	16:17.34	19:46.56	ああ… 寝足りねえ
257	cover	16:18.31	16:20.25	19:50.48	なんで生きてられんのよ
258	cover	16:20.33	16:22.29	19:52.52	よかった 生きてたか
259	cover	16:22.71	16:26.05	19:54.65	こんなことが許されてたまるか
260	cover	16:26.45	16:27.86	19:58.61	もう我慢できん
261	cover	16:27.89	16:29.98	20:00.07	突然 現れた馬の骨に―
262	cover	16:30.01	16:33.76	20:01.95	わしらの40年を\N消し飛ばす権利はない！
263	cover	16:35.11	16:38.33	20:07.50	わしは この町の町長じゃ
264	cover+snap	16:39.03	16:43.57	20:11.34	くううっ この町は\Nわしが守る！
265	cover	16:44.77	16:46.73	20:16.96	ちょ… ちょっと待って\N町長さん！
266	cover+snap	16:46.76	16:49.97	20:18.93	いや 男には\N退いてはならん戦いがある
267	cover	16:50.15	16:51.87	20:22.26	違うか？ 小わっぱ
268	cover	16:52.13	16:53.25	20:24.01	そうだ おっさん
269	cover	16:53.73	16:54.74	20:25.81	乗せるな！
270	cover	16:54.77	16:58.12	20:27.35	やつらの所へ行って\N何ができるの？ 無謀よ
271	cover	16:58.15	17:00.27	20:30.52	無謀は承知！
272	rescue	17:03.15	17:07.15	20:35.36	待っておれ 道化のバギー！
273	cover	17:07.99	17:09.70	20:40.11	町長さん 泣いてた
274	cover	17:09.73	17:11.96	20:42.12	そうか？ 俺には見えなかった
275	cover	17:11.99	17:14.29	20:44.49	なんか盛り上がってきてる\Nみてえだな
276	interp	17:14.43	17:17.65	20:46.87	ヒヒヒヒッ そうなんだ\Nヒヒヒヒヒッ
277	cover	17:17.97	17:19.71	20:50.12	笑ってる場合か
278	cover	17:21.35	17:23.24	20:52.96	大丈夫！\N俺 あのおっさん 好きだ
279	cover	17:23.27	17:25.29	20:55.92	絶対 死なせない！
280	cover	17:25.43	17:27.19	20:57.76	てめえがそう言うなら
281	cover	17:27.83	17:30.37	21:00.17	あんたも行く気？ その傷で
282	cover	17:30.83	17:31.94	21:02.84	腹の傷より―
283	cover	17:31.97	17:35.77	21:04.22	やられっぱなしで傷ついた\N俺の名のほうが重傷だ
284	cover	17:36.19	17:38.63	21:08.31	俺たちが目指すのは\Nグランドライン
285	cover	17:39.15	17:41.99	21:11.35	これから その海図を\Nもう一度 奪いに行く
286	rescue+snap	17:43.23	17:46.75	21:15.32	ハハッ 仲間になってくれ\Nナミ おい
287	cover	17:47.43	17:50.52	21:19.40	私は海賊にはならないわ フッ
288	-	-	-	21:22.99	あっ
289	rescue	17:52.73	17:56.63	21:24.95	手を組むって言ってくれる？\Nお互いの目的のために
290	-	-	-	21:28.83	ヒヒヒッ
291	cover	17:56.95	17:59.12	21:31.08	２発目 準備できました
292	-	-	-	21:33.54	よーし 撃て！
293	cover+snap	18:01.09	18:04.10	21:35.17	道化のバギー 出てこーい！
294	cover	18:07.35	18:09.46	21:41.34	わしは町長 ブードルじゃ
295	cover	18:09.49	18:12.74	21:43.93	我が宝 この町を\N守り抜くために来た
296	cover	18:12.77	18:14.08	21:46.93	わしと勝負しろ！
297	cover	18:14.11	18:15.83	21:48.31	バカか てめえは
298	cover	18:16.23	18:18.46	21:50.14	宝ってのは\N金銀財宝を言うんだよ
299	cover	18:18.49	18:21.58	21:52.77	町が宝だと？\Nざれ言 抜かすな！
300	cover	18:21.61	18:24.39	21:56.02	貴様なんかに わしの思いが…
301	-	-	-	21:58.48	ぐう…
302	cover	18:25.87	18:27.86	22:00.03	俺は のちに\Nグランドラインを制し―
303	cover	18:27.89	18:32.14	22:02.03	派手に輝く全世界の財宝を\Nすべて手中に収める男だ
304	cover	18:32.51	18:34.20	22:06.62	世界の財宝は俺のもの
305	cover	18:34.23	18:37.22	22:08.58	この世に俺以外の\N宝を持つ者など必要ない
306	cover	18:37.25	18:42.03	22:11.54	そんなに この町が大切なら\N一緒にこの世から消してやろうか？
307	cover	18:42.69	18:45.83	22:16.79	ほざく前にわしと戦え
308	cover	18:46.05	18:47.44	22:20.13	うぬぼれるな
309	cover	18:47.47	18:52.25	22:21.88	この町は潰させん\Nわしの命に代えても…
310	-	-	-	22:26.55	ぐっ… ぶっ放せ！
311	-	-	-	22:28.85	うっ ああ？
312	cover	18:57.59	18:59.72	22:31.52	麦わらの男！
313	-	-	-	22:45.65	約束どおり\Nお前をぶっ飛ばしに来たぞ
314	-	-	-	24:10.82	何だ？ 今度は剣士とか\N言ってるやつが出てきたぞ
315	-	-	-	24:13.54	剣の相手なら俺がやる
316	-	-	-	24:15.20	大丈夫か？ その傷で
317	-	-	-	24:16.79	ヘッ 格の違いを教えてやるぜ
318	-	-	-	24:18.83	おお カッコいい
319	-	-	-	24:20.21	俺の野望は\N世界一の剣豪になることだ
320	-	-	-	24:23.00	剣士と名乗る野郎には\N一度でも負けるわけにはいかねえ！
321	-	-	-	24:26.55	次回 ワンピース
322	-	-	-	24:27.88	「壮絶決闘！\N剣豪ゾロ 対 曲芸のカバジ！」
323	-	-	-	24:31.60	海賊王に 俺はなる！
324	-	-	-	00:02.21	富 名声 力
325	cover	00:03.31	00:07.37	00:04.25	この世のすべてを手に入れた男\N海賊王 ゴールド･ロジャー
326	cover	00:07.63	00:11.24	00:08.47	彼の死に際に放ったひと言は\N人々を海へ駆り立てた
327	cover	00:11.27	00:15.19	00:12.30	俺の財宝か？\N欲しけりゃくれてやる
328	cover	00:15.37	00:18.92	00:16.14	探せ！ この世のすべてを\Nそこに置いてきた
329	cover	00:21.43	00:23.90	00:22.27	男たちは\Nグランドラインを目指し
330	cover	00:23.93	00:25.73	00:24.90	夢を追い続ける
331	cover	00:26.11	00:29.36	00:27.07	世は まさに大海賊時代！
332	-	-	-	01:52.57	あん？
333	-	-	-	01:54.07	ウワーッ
334	cover	11:23.85	11:26.16	02:00.20	今度こそ 頭を噛み砕いてやる
335	cover	11:33.37	11:34.96	02:03.46	ゴムゴムの…
336	-	-	-	02:05.42	槌！
337	-	-	-	02:08.21	ううっ
338	-	-	-	02:10.42	ダアーッ
339	-	-	-	02:14.43	ハハッ\N仲間になってくれ ナミ なっ？
340	-	-	-	02:18.43	あっ…
341	-	-	-	02:20.06	手を組むって言ってくれる？\Nお互いの目的のために
342	-	-	-	02:23.94	よーし 撃て
343	-	-	-	02:32.03	くっ うわっ
344	cover	19:03.77	19:07.61	02:44.21	約束どおり\Nお前をぶっ飛ばしに来たぞ
345	interp1	19:00.66	19:03.70	02:48.71	ぐっ… ううっ
346	-	-	-	02:52.30	ニヒヒヒッ
347	-	-	-	02:53.46	ああっ
348	interp1	19:08.54	19:10.04	02:56.59	麦わら…
349	cover	19:16.09	19:20.30	03:04.14	貴様ら よくも\Nのこのこ戻ってきやがったな
350	cover	19:20.37	19:23.25	03:08.52	この バギー船長の前に
351	cover	19:23.43	19:27.89	03:11.52	いい？ 私は海図と宝が\N手に入れば それでいいの
352	cover	19:28.09	19:29.49	03:16.11	ああ 分かってる
353	cover	19:30.55	19:33.18	03:18.70	小わっぱども\N何しに来たんじゃ？
